"","site","species","sitepoint","seed_input","block_id","near_far","germinants","seedlings","dens"
"6","ladt","premna","ladt b4",50,"ladt pr.b4","near",2,1,89.5
"12","ladt","premna","ladt a4",50,"ladt pr.a4","far",2,0,93.25
"18","ladt","premna","ladt b3",50,"ladt pr.b3","far",4,0,95
"24","ladt","premna","ladt a2",50,"ladt pr.a2","near",3,0,96.25
"30","ladt","premna","ladt a1",50,"ladt pr.a1","near",2,0,92.75
"36","ladt","premna","ladt a0",50,"ladt pr.a0","near",7,0,91.5
"42","ladt","premna","ladt s1",50,"ladt pr.s1","near",3,0,93.75
"48","ladt","premna","ladt d0",50,"ladt pr.d0","far",2,0,91
"54","ladt","premna","ladt s3",50,"ladt pr.s3","near",4,0,92.75
"60","ladt","premna","ladt d2",50,"ladt pr.d2","far",2,0,91
"66","ladt","premna","ladt c2",50,"ladt pr.c2","near",3,0,93.5
"72","ladt","premna","ladt c4",50,"ladt pr.c4","far",5,2,90.5
"78","mtr1","premna","mtr1 b0",50,"mtr1 pr.b0","far",2,2,95.25
"84","mtr1","premna","mtr1 c0",50,"mtr1 pr.c0a","near",1,0,92.5
"90","mtr1","premna","mtr1 c0",50,"mtr1 pr.c0b","near",3,1,91.5
"96","mtr1","premna","mtr1 d1",50,"mtr1 pr.d1","near",0,0,97.25
"102","mtr1","premna","mtr1 d2",50,"mtr1 pr.d2","far",8,1,95
"108","mtr1","premna","mtr1 e2",50,"mtr1 pr.e2","far",10,6,90.5
"114","mtr1","premna","mtr1 c3",50,"mtr1 pr.c3","far",2,NA,89.5
"120","mtr1","premna","mtr1 c4",50,"mtr1 pr.c4","far",7,3,90.25
"126","mtr1","premna","mtr1 s4",50,"mtr1 pr.s4a","near",3,0,88.5
"132","mtr1","premna","mtr1 s4",50,"mtr1 pr.s4b","near",0,0,92.75
"138","mtr1","premna","mtr1 b2",50,"mtr1 pr.b2","near",0,0,93.25
"144","mtr1","premna","mtr1 s2",50,"mtr1 pr.s2","far",6,3,88.5
"150","forbi","premna","forbi e0",50,"forbi pr.e0a","near",7,0,92.25
"156","forbi","premna","forbi e0",50,"forbi pr.e0b","near",4,1,91
"162","forbi","premna","forbi e2",50,"forbi pr.e2a","near",4,0,95
"168","forbi","premna","forbi e2",50,"forbi pr.e2b","near",4,0,93.75
"174","forbi","premna","forbi e4",50,"forbi pr.e4a","near",5,0,95.25
"180","forbi","premna","forbi e4",50,"forbi pr.e4b","near",2,0,95.75
"186","forbi","premna","forbi c2",50,"forbi pr.c2","far",3,2,94.25
"192","forbi","premna","forbi c0",50,"forbi pr.c0","far",4,3,91
"198","forbi","premna","forbi b0",50,"forbi pr.b0","far",2,1,89.75
"204","forbi","premna","forbi a1",50,"forbi pr.a1","far",11,0,91.75
"210","forbi","premna","forbi a4",50,"forbi pr.a4","far",6,2,89.5
"216","forbi","premna","forbi b2",50,"forbi pr.b2","far",3,1,92
"61","ladt","aglaia","ladt b3",20,"ladt ag.b3","far",12,2,91.5
"121","ladt","aglaia","ladt a3",20,"ladt ag.a3","far",12,10,92
"181","ladt","aglaia","ladt a1",20,"ladt ag.a1","far",15,15,93
"241","ladt","aglaia","ladt b1",20,"ladt ag.b1","far",14,12,94.25
"301","ladt","aglaia","ladt b0",20,"ladt ag.b0","far",6,1,92.5
"361","ladt","aglaia","ladt d3",20,"ladt ag.d3","far",0,0,92.75
"421","ladt","aglaia","ladt e3",20,"ladt ag.e3","near",1,0,94.5
"481","ladt","aglaia","ladt s8",20,"ladt ag.s8a","near",0,0,90
"541","ladt","aglaia","ladt s8",20,"ladt ag.s8b","near",0,0,93.5
"601","ladt","aglaia","ladt d4",20,"ladt ag.d4a","near",0,0,91.75
"661","ladt","aglaia","ladt d4",20,"ladt ag.d4b","near",3,0,92.75
"721","ladt","aglaia","ladt c4",20,"ladt ag.c4","near",1,0,92
"781","mtr1","aglaia","mtr1 b1",20,"mtr1 ag.b1","far",3,0,95
"841","mtr1","aglaia","mtr1 c0",20,"mtr1 ag.c0","near",17,13,91
"901","mtr1","aglaia","mtr1 e0",20,"mtr1 ag.e0","far",6,0,92.75
"961","mtr1","aglaia","mtr1 e2",20,"mtr1 ag.e2","near",10,1,94.25
"1021","mtr1","aglaia","mtr1 d4",20,"mtr1 ag.d4","near",14,5,92.5
"1081","mtr1","aglaia","mtr1 d3",20,"mtr1 ag.d3","near",9,2,93.5
"1141","mtr1","aglaia","mtr1 c2",20,"mtr1 ag.c2","far",4,0,90.75
"1201","mtr1","aglaia","mtr1 c3",20,"mtr1 ag.c3","far",18,16,91.25
"1261","mtr1","aglaia","mtr1 s4",20,"mtr1 ag.s4","far",9,2,90.75
"1321","mtr1","aglaia","mtr1 a3",20,"mtr1 ag.a3","far",7,2,87.25
"1381","mtr1","aglaia","mtr1 a4",20,"mtr1 ag.a4","near",0,0,86.75
"1441","mtr1","aglaia","mtr1 s3",20,"mtr1 ag.s3","near",0,0,93
"1501","forbi","aglaia","forbi e0",20,"forbi ag.e0","far",18,18,91.75
"1561","forbi","aglaia","forbi e1",20,"forbi ag.e1","far",3,0,96.5
"1621","forbi","aglaia","forbi d2",20,"forbi ag.d2","far",19,18,93.75
"1681","forbi","aglaia","forbi e3",20,"forbi ag.e3","far",13,12,91.75
"1741","forbi","aglaia","forbi b4",20,"forbi ag.b4","near",4,0,94
"1801","forbi","aglaia","forbi a4",20,"forbi ag.a4a","near",12,2,89.25
"1861","forbi","aglaia","forbi a4",20,"forbi ag.a4b","near",7,0,88.5
"1921","forbi","aglaia","forbi d1",20,"forbi ag.d1","far",0,0,97.25
"1981","forbi","aglaia","forbi s4",20,"forbi ag.s4","near",13,1,96
"2041","forbi","aglaia","forbi s6",20,"forbi ag.s6a","near",6,0,90
"2101","forbi","aglaia","forbi s6",20,"forbi ag.s6b","near",0,0,88.5
"2161","forbi","aglaia","forbi s7",20,"forbi ag.s7b","near",12,3,91.5
