"","germ","gap_nongap","site","fence","species","seed_input"
"1",9,"gap","anao",1,"premna",150
"2",30,"gap","anao",2,"premna",150
"3",7,"gap","anao",3,"premna",150
"4",0,"nongap","anao",1,"premna",150
"5",6,"nongap","anao",2,"premna",150
"6",0,"nongap","anao",3,"premna",150
"7",3,"gap","nblas",1,"premna",150
"8",13,"gap","nblas",2,"premna",150
"9",35,"gap","nblas",3,"premna",150
"10",0,"nongap","nblas",1,"premna",150
"11",0,"nongap","nblas",2,"premna",150
"12",0,"nongap","nblas",3,"premna",150
"13",24,"gap","ritd",1,"premna",150
"14",35,"gap","ritd",2,"premna",150
"15",15,"gap","ritd",3,"premna",150
"16",0,"nongap","ritd",1,"premna",150
"17",20,"nongap","ritd",2,"premna",150
"18",0,"nongap","ritd",3,"premna",150
"19",16,"gap","sblas",1,"premna",150
"20",3,"gap","sblas",2,"premna",150
"21",3,"gap","sblas",3,"premna",150
"22",0,"nongap","sblas",1,"premna",150
"23",0,"nongap","sblas",2,"premna",150
"24",7,"nongap","sblas",3,"premna",150
"25",28,"gap","anao",1,"papaya",125
"26",19,"gap","anao",2,"papaya",125
"27",0,"gap","anao",3,"papaya",125
"28",0,"nongap","anao",1,"papaya",125
"29",0,"nongap","anao",2,"papaya",125
"30",3,"nongap","anao",3,"papaya",125
"31",9,"gap","nblas",1,"papaya",125
"32",5,"gap","nblas",2,"papaya",125
"33",14,"gap","nblas",3,"papaya",125
"34",1,"nongap","nblas",1,"papaya",125
"35",0,"nongap","nblas",2,"papaya",125
"36",0,"nongap","nblas",3,"papaya",125
"37",7,"gap","ritd",1,"papaya",125
"38",3,"gap","ritd",2,"papaya",125
"39",14,"gap","ritd",3,"papaya",125
"40",0,"nongap","ritd",1,"papaya",125
"41",0,"nongap","ritd",2,"papaya",125
"42",1,"nongap","ritd",3,"papaya",125
"43",31,"gap","sblas",1,"papaya",125
"44",10,"gap","sblas",2,"papaya",125
"45",15,"gap","sblas",3,"papaya",125
"46",0,"nongap","sblas",1,"papaya",125
"47",0,"nongap","sblas",2,"papaya",125
"48",0,"nongap","sblas",3,"papaya",125
"49",19,"gap","anao",1,"aglaia",75
"50",4,"gap","anao",2,"aglaia",75
"51",30,"gap","anao",3,"aglaia",75
"52",8,"nongap","anao",1,"aglaia",75
"53",4,"nongap","anao",2,"aglaia",75
"54",10,"nongap","anao",3,"aglaia",75
"55",3,"gap","nblas",1,"aglaia",75
"56",0,"gap","nblas",2,"aglaia",75
"57",3,"gap","nblas",3,"aglaia",75
"58",42,"nongap","nblas",1,"aglaia",75
"59",40,"nongap","nblas",2,"aglaia",75
"60",41,"nongap","nblas",3,"aglaia",75
"61",0,"gap","ritd",1,"aglaia",75
"62",0,"gap","ritd",2,"aglaia",75
"63",1,"gap","ritd",3,"aglaia",75
"64",2,"nongap","ritd",1,"aglaia",75
"65",0,"nongap","ritd",2,"aglaia",75
"66",0,"nongap","ritd",3,"aglaia",75
"67",0,"gap","sblas",1,"aglaia",75
"68",29,"gap","sblas",2,"aglaia",75
"69",1,"gap","sblas",3,"aglaia",75
"70",37,"nongap","sblas",1,"aglaia",75
"71",13,"nongap","sblas",2,"aglaia",75
"72",20,"nongap","sblas",3,"aglaia",75
